epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,583.813,2.43098,1.1656,2.34249,0.896,0.8791,0.92372,0.58122,2.64439,1.11288,2.49351,0.00132868,0.00132868,0.00132868
43,597.635,2.43189,1.19249,2.35047,0.92203,0.84311,0.92465,0.57856,2.58117,1.06421,2.4845,0.00132043,0.00132043,0.00132043
44,611.573,2.39963,1.1438,2.35181,0.9155,0.8619,0.9278,0.58925,2.54447,1.056,2.47196,0.00131218,0.00131218,0.00131218
45,625.284,2.3964,1.15623,2.34884,0.85913,0.78909,0.88191,0.56748,2.52662,1.14066,2.46859,0.00130393,0.00130393,0.00130393
46,639.096,2.39794,1.14219,2.34525,0.94016,0.82863,0.92351,0.59,2.58777,1.10629,2.48299,0.00129568,0.00129568,0.00129568
47,652.95,2.38468,1.13196,2.34059,0.87849,0.85204,0.91971,0.59759,2.53878,1.08482,2.49554,0.00128742,0.00128742,0.00128742
48,666.704,2.36562,1.13122,2.3224,0.89339,0.88983,0.93649,0.59297,2.56429,1.05793,2.45779,0.00127917,0.00127917,0.00127917
49,680.538,2.42678,1.14726,2.34588,0.91167,0.83982,0.92439,0.59683,2.4844,1.05946,2.43157,0.00127092,0.00127092,0.00127092
50,694.421,2.34791,1.11329,2.31187,0.88526,0.88256,0.92452,0.6003,2.56284,1.06283,2.51578,0.00126267,0.00126267,0.00126267
51,708.174,2.33415,1.11427,2.31716,0.91455,0.86277,0.92764,0.60087,2.52969,1.00888,2.43693,0.00125442,0.00125442,0.00125442
52,722.176,2.29716,1.08735,2.29804,0.91161,0.85761,0.91649,0.59,2.59551,1.02141,2.48515,0.00124617,0.00124617,0.00124617
53,736.193,2.37331,1.11568,2.31235,0.89795,0.89459,0.92997,0.59996,2.55111,1.02726,2.44219,0.00123791,0.00123791,0.00123791
54,750.133,2.34217,1.09481,2.30345,0.93011,0.87658,0.92324,0.58276,2.64027,1.08594,2.57627,0.00122966,0.00122966,0.00122966
55,763.964,2.32194,1.0696,2.30702,0.88251,0.8747,0.92707,0.61373,2.44839,0.98086,2.44875,0.00122141,0.00122141,0.00122141
56,777.823,2.29832,1.10468,2.30352,0.88477,0.88133,0.92756,0.59927,2.54209,1.02394,2.48865,0.00121316,0.00121316,0.00121316
57,791.797,2.27751,1.0873,2.27958,0.92918,0.84349,0.91713,0.58129,2.60059,1.05273,2.53557,0.00120491,0.00120491,0.00120491
58,805.692,2.29934,1.0862,2.3038,0.92357,0.87723,0.9343,0.60587,2.49584,0.97576,2.49243,0.00119666,0.00119666,0.00119666
59,819.547,2.27412,1.06978,2.29176,0.91605,0.87517,0.929,0.59223,2.56948,1.01127,2.48386,0.0011884,0.0011884,0.0011884
60,833.39,2.241,1.04573,2.28221,0.94821,0.8791,0.93428,0.59929,2.54982,0.97195,2.47503,0.00118015,0.00118015,0.00118015
61,847.004,2.26065,1.05399,2.28046,0.9139,0.83441,0.92526,0.61123,2.49715,1.00329,2.45875,0.0011719,0.0011719,0.0011719
62,860.909,2.26057,1.05157,2.28428,0.90031,0.88878,0.92296,0.60733,2.47189,1.02474,2.47326,0.00116365,0.00116365,0.00116365
63,874.831,2.25426,1.03554,2.25787,0.90868,0.87957,0.92348,0.60108,2.50255,1.00908,2.46457,0.0011554,0.0011554,0.0011554
64,888.714,2.25668,1.04311,2.27856,0.9025,0.87932,0.92635,0.61137,2.51837,1.02705,2.53753,0.00114715,0.00114715,0.00114715
65,902.537,2.22907,1.05289,2.25921,0.88404,0.88672,0.93007,0.59821,2.5176,0.98319,2.48674,0.00113889,0.00113889,0.00113889
66,916.515,2.24969,1.02696,2.25878,0.91922,0.88535,0.92674,0.59446,2.5425,1.00335,2.57398,0.00113064,0.00113064,0.00113064
67,930.264,2.23681,1.02266,2.26063,0.94408,0.85198,0.92965,0.61494,2.41235,0.95607,2.40074,0.00112239,0.00112239,0.00112239
68,944.254,2.21485,1.00856,2.24492,0.90804,0.89826,0.93041,0.6168,2.43499,0.97454,2.45795,0.00111414,0.00111414,0.00111414
69,958.146,2.19393,0.99665,2.23362,0.9604,0.88954,0.94403,0.62225,2.53804,0.96693,2.5068,0.00110589,0.00110589,0.00110589
70,971.978,2.19695,1.0144,2.24282,0.92879,0.84154,0.92519,0.59743,2.50088,1.00687,2.48265,0.00109764,0.00109764,0.00109764
71,986.051,2.20725,1.02001,2.24706,0.94259,0.87455,0.93832,0.59854,2.5145,1.0038,2.50743,0.00108938,0.00108938,0.00108938
72,999.985,2.1937,1.00434,2.23902,0.94805,0.85045,0.93425,0.60841,2.50815,0.99805,2.46782,0.00108113,0.00108113,0.00108113
73,1013.66,2.20029,1.01292,2.23004,0.88822,0.88784,0.92071,0.59886,2.53325,0.96393,2.48933,0.00107288,0.00107288,0.00107288
74,1027.73,2.17119,0.98843,2.2361,0.93985,0.8711,0.93078,0.59854,2.46605,0.99913,2.48678,0.00106463,0.00106463,0.00106463
75,1041.58,2.15379,1.00015,2.22668,0.90905,0.87658,0.93298,0.59492,2.48728,1.01359,2.50386,0.00105638,0.00105638,0.00105638
